"Date","Price","Open","High","Low","Vol.","Change %"
"2022-06-03","116.03","115.09","116.06","114.87","15.33M","-0.21%"
"2022-06-02","116.28","116.63","116.71","115.46","9.83M","0.05%"
"2022-06-01","116.22","117.03","117.34","115.69","15.54M","-0.29%"
"2022-05-31","116.56","117.18","117.23","115.93","28.39M","-2.12%"
"2022-05-27","119.08","119.36","119.74","118.74","11.19M","0.24%"
"2022-05-26","118.79","119.02","119.09","117.80","14.91M","-0.45%"
"2022-05-25","119.33","119.61","119.62","118.59","14.41M","0.40%"
"2022-05-24","118.86","117.90","119.64","117.86","23.39M","1.97%"
"2022-05-23","116.56","117.71","118.25","116.54","15.93M","-1.65%"
"2022-05-20","118.51","117.09","119.02","117.06","22.78M","1.14%"
"2022-05-19","117.18","118.64","118.72","116.85","21.94M","0.24%"
"2022-05-18","116.90","114.72","117.00","114.61","21.34M","2.13%"
"2022-05-17","114.46","114.71","115.35","114.36","15.04M","-1.21%"
"2022-05-16","115.86","116.21","116.93","115.85","11.05M","-0.10%"
"2022-05-13","115.98","116.98","117.15","115.90","20.78M","-1.48%"
"2022-05-12","117.72","118.02","118.89","117.65","26.41M","-0.19%"
"2022-05-11","117.94","114.74","117.94","114.44","34.17M","1.93%"
"2022-05-10","115.71","115.89","116.96","115.48","33.64M","0.91%"
"2022-05-09","114.67","112.86","114.71","112.62","26.77M","0.88%"
"2022-05-06","113.67","114.14","115.04","113.31","32.79M","-1.47%"
"2022-05-05","115.37","116.35","116.47","114.01","48.38M","-2.74%"
"2022-05-04","118.62","117.97","118.96","117.35","25.58M","0.55%"
"2022-05-03","117.97","119.04","119.31","117.89","21.26M","0.67%"
"2022-05-02","117.18","117.86","118.27","116.93","29.23M","-1.90%"
"2022-04-29","119.45","119.31","120.97","119.11","26.15M","-1.30%"
"2022-04-28","121.02","120.39","121.07","120.01","16.89M","0.15%"
"2022-04-27","120.84","122.19","122.32","120.77","14.56M","-1.28%"
"2022-04-26","122.41","122.44","123.03","121.76","26.93M","1.01%"
"2022-04-25","121.19","121.38","122.18","121.13","25.42M","1.00%"
"2022-04-22","119.99","120.07","121.44","119.81","19.77M","-0.63%"
"2022-04-21","120.75","120.83","120.91","119.17","23.32M","-0.74%"
"2022-04-20","121.65","120.22","121.96","119.92","31.42M","2.01%"
"2022-04-19","119.25","119.15","119.72","118.67","26.01M","-0.75%"
"2022-04-18","120.15","120.87","121.08","119.69","18.78M","-0.50%"
"2022-04-14","120.75","122.86","122.93","120.38","34.27M","-2.00%"
